DateTime,WoodLand_Hills
1/1/2008,581.0967742
2/1/2008,676.1071429
3/1/2008,632.5483871
4/1/2008,646.4666667
5/1/2008,600.2258065
6/1/2008,623.3
7/1/2008,648.2580645
8/1/2008,631
9/1/2008,641
10/1/2008,666.8387097
11/1/2008,585.4333333
12/1/2008,585.5806452
1/1/2009,636
2/1/2009,671.2857143
3/1/2009,695.2903226
4/1/2009,698.1333333
5/1/2009,654.1935484
6/1/2009,722.8333333
7/1/2009,696.4193548
8/1/2009,631.6129032
9/1/2009,667.6
10/1/2009,665.7096774
11/1/2009,619.6666667
12/1/2009,601.5483871
1/1/2010,614.0967742
2/1/2010,702.2857143
3/1/2010,710.7741935
4/1/2010,668.2
5/1/2010,626.1290323
6/1/2010,684.7666667
7/1/2010,676.3225806
8/1/2010,653.1935484
9/1/2010,666.0666667
10/1/2010,670.7419355
11/1/2010,666.8
12/1/2010,632.5806452
1/1/2011,682.4516129
2/1/2011,709.1785714
3/1/2011,717.6129032
4/1/2011,649.3666667
5/1/2011,673.5483871
6/1/2011,699.9
7/1/2011,645
8/1/2011,674.4193548
9/1/2011,697.6
10/1/2011,688.0967742
11/1/2011,674.1666667
12/1/2011,634.1935484
1/1/2012,695.7096774
2/1/2012,768.9285714
3/1/2012,709.8387097
4/1/2012,680.0666667
5/1/2012,686.4193548
6/1/2012,672.5333333
7/1/2012,665
8/1/2012,693.0322581
9/1/2012,665.5666667
10/1/2012,739.5806452
11/1/2012,683.5
12/1/2012,621.5483871
1/1/2013,714.0322581
2/1/2013,726.0714286
3/1/2013,686.6451613
4/1/2013,715.9666667
5/1/2013,696.1612903
6/1/2013,670.2666667
7/1/2013,706.2903226
8/1/2013,696.2903226
9/1/2013,686.1666667
10/1/2013,748.6129032
11/1/2013,666.7
12/1/2013,650.1612903
1/1/2014,724.0967742
2/1/2014,742.25
3/1/2014,694.1935484
4/1/2014,718.5333333
5/1/2014,681.6451613
6/1/2014,688.1333333
7/1/2014,703.0967742
8/1/2014,690.2580645
9/1/2014,714.6666667
10/1/2014,718.2258065
11/1/2014,636.8666667
12/1/2014,677.3548387
1/1/2015,718.483871
2/1/2015,758.1428571
3/1/2015,748.516129
4/1/2015,742.1333333
5/1/2015,691.4516129
6/1/2015,765.3333333
7/1/2015,728.9354839
8/1/2015,718.7741935
9/1/2015,753.9666667
10/1/2015,766.6774194
11/1/2015,713.4666667
12/1/2015,701.9677419
