"REGION","FACILITY","DATETIME","ARCHIVED","NOTARCHIVED","RETRIEVENEEDED","WAITINGFORFLUSH"
"SCAL","Baldwin Park",25-FEB-16,5847,16,29095,7
"SCAL","Baldwin Park",25-FEB-16,5847,16,29095,7
"SCAL","Baldwin Park",25-FEB-16,5849,15,29095,6
"SCAL","Baldwin Park",25-FEB-16,5849,15,29095,6
"SCAL","Baldwin Park",25-FEB-16,5845,15,29095,10
"SCAL","Baldwin Park",25-FEB-16,5841,16,29095,13
"SCAL","Baldwin Park",25-FEB-16,5832,21,29095,19
"SCAL","Baldwin Park",25-FEB-16,5828,19,29095,28
"SCAL","Baldwin Park",25-FEB-16,5848,24,29095,7
"SCAL","Baldwin Park",25-FEB-16,5845,23,29095,13
"SCAL","Baldwin Park",23-FEB-16,5803,24,29096,14
"SCAL","Baldwin Park",23-FEB-16,5808,22,29096,11
"SCAL","Baldwin Park",23-FEB-16,5808,22,29096,11
"SCAL","Baldwin Park",23-FEB-16,5812,21,29096,8
"SCAL","Baldwin Park",23-FEB-16,5812,18,29096,11
"SCAL","Baldwin Park",24-FEB-16,5814,17,29096,10
"SCAL","Baldwin Park",24-FEB-16,5814,16,29096,11
"SCAL","Baldwin Park",24-FEB-16,5814,16,29096,11
"SCAL","Baldwin Park",24-FEB-16,5814,16,29096,11
"SCAL","Baldwin Park",24-FEB-16,5818,16,29096,7
"SCAL","Baldwin Park",24-FEB-16,5818,16,29096,7
"SCAL","Baldwin Park",24-FEB-16,5820,16,29096,5
"SCAL","Baldwin Park",24-FEB-16,5820,16,29096,5
"SCAL","Baldwin Park",24-FEB-16,5820,16,29096,5
"SCAL","Baldwin Park",24-FEB-16,5820,18,29096,5
"SCAL","Baldwin Park",24-FEB-16,5815,19,29095,12
"SCAL","Baldwin Park",24-FEB-16,5813,21,29095,15
"SCAL","Baldwin Park",24-FEB-16,5820,23,29095,11
"SCAL","Baldwin Park",24-FEB-16,5820,24,29095,12
"SCAL","Baldwin Park",24-FEB-16,5824,26,29095,8
"SCAL","Baldwin Park",24-FEB-16,5824,29,29095,9
"SCAL","Baldwin Park",24-FEB-16,5825,32,29095,9
"SCAL","Baldwin Park",24-FEB-16,5825,31,29095,13
"SCAL","Baldwin Park",24-FEB-16,5831,29,29095,10
"SCAL","Baldwin Park",24-FEB-16,5831,27,29095,12
"SCAL","Baldwin Park",24-FEB-16,5834,25,29095,11
"SCAL","Baldwin Park",24-FEB-16,5838,22,29095,10
"SCAL","Baldwin Park",24-FEB-16,5838,18,29095,14
"SCAL","Baldwin Park",25-FEB-16,5846,17,29095,7
"SCAL","Baldwin Park",25-FEB-16,5846,16,29095,8
"SCAL","Baldwin Park",25-FEB-16,5846,16,29095,8
"SCAL","Baldwin Park",25-FEB-16,5846,16,29095,8
"SCAL","Baldwin Park",22-FEB-16,5761,19,29103,6
"SCAL","Baldwin Park",22-FEB-16,5762,20,29103,5
"SCAL","Baldwin Park",22-FEB-16,5759,21,29103,17
"SCAL","Baldwin Park",22-FEB-16,5764,23,29102,12
"SCAL","Baldwin Park",22-FEB-16,5763,24,29102,15
"SCAL","Baldwin Park",22-FEB-16,5768,28,29101,11
"SCAL","Baldwin Park",22-FEB-16,5769,29,29100,12
"SCAL","Baldwin Park",22-FEB-16,5776,29,29100,7
"SCAL","Baldwin Park",22-FEB-16,5776,26,29100,10
"SCAL","Baldwin Park",22-FEB-16,5777,25,29100,11
"SCAL","Baldwin Park",22-FEB-16,5777,23,29100,13
"SCAL","Baldwin Park",22-FEB-16,5781,22,29100,10
"SCAL","Baldwin Park",22-FEB-16,5781,18,29100,14
"SCAL","Baldwin Park",23-FEB-16,5789,16,29100,8
"SCAL","Baldwin Park",23-FEB-16,5789,16,29100,8
"SCAL","Baldwin Park",23-FEB-16,5789,16,29100,8
"SCAL","Baldwin Park",23-FEB-16,5789,16,29100,8
"SCAL","Baldwin Park",23-FEB-16,5790,16,29100,7
